xA,xB,xC,phase
0.6265427900773923,0.22617487820722426,0.1472823317153834,ABC
0.37942328608965836,0.47145402201581976,0.14912269189452176,ABC
0.32174684982183827,0.6357690018624784,0.04248414831568352,ABC
0.08642051656615982,0.59642990341498,0.3171495800188602,B
0.5631069563464534,0.14773432214050153,0.2891587215130451,ABC
0.6452556459169625,0.323768436359985,0.03097591772305259,A
0.33115718208589096,0.6099231401514634,0.058919677762645596,ABC
0.5072806025819411,0.2362889033805774,0.25643049403748136,ABC
0.9063593337853556,0.08815767535069535,0.005482990863949058,A
0.2920196799067132,0.4428021703331166,0.2651781497601702,ABC
0.7554343827652739,0.11034535468584061,0.13422026254888572,A
0.27242110854976187,0.446413660659749,0.2811652307904889,ABC
0.7441906813600229,0.25505404279757765,0.0007552758423994067,A
0.4986130378495005,0.5006409685376836,0.0007459936128159372,A
0.07322401771785965,0.6704417881024927,0.25633419417964765,B
0.39148250776454974,0.5148825257612906,0.09363496647415982,ABC
0.12270634736984741,0.6543856040260889,0.22290804860406385,B
0.27650352032091585,0.26964122079890923,0.4538552588801751,ABC
0.23816125890378748,0.40878204610403784,0.3530566949921746,ABC
0.051511336759804065,0.44149812370389885,0.5069905395362971,ABC
0.41165356190711655,0.3965334731854402,0.19181296490744337,ABC
0.06640611469383069,0.1520558286343814,0.7815380566717879,C
0.2091630123881763,0.11862597122086962,0.672211016390954,C
0.1026929593697526,0.7447345170489801,0.15257252358126722,B
0.2595669303936955,0.611635047808949,0.12879802179735556,B
0.4109358964164456,0.5062836042874862,0.08278049929606815,ABC
0.4936908938202954,0.4659438455471593,0.04036526063254526,ABC
0.6065910918477498,0.03752285101106536,0.35588605714118493,A
0.14347184929833298,0.40913558323531923,0.4473925674663478,ABC
0.03915473678785064,0.001158400979064307,0.959686862233085,C
0.2048677532729074,0.6077882417781065,0.18734400494898606,B
0.047321040963108914,0.5662333822277389,0.3864455768091522,B
0.08498177424634644,0.6852604545650411,0.22975777118861243,B
0.6908664820736797,0.11092030614992028,0.1982132117763999,A
0.44742111219393554,0.23779720411286298,0.3147816836932013,ABC
0.3146795492347876,0.11597843903831816,0.5693420117268942,ABC
0.21107415386226597,0.725176721108627,0.06374912502910715,B
0.42941023767561626,0.1594671881518497,0.41112257417253406,ABC
0.5382134823180169,0.3103323562232191,0.15145416145876414,ABC
0.2824749074394099,0.19599710930433298,0.521527983256257,ABC
0.3172520369779098,0.47101069135406876,0.2117372716680214,ABC
0.454312228895754,0.16575899094644958,0.3799287801577963,ABC
0.1916959092393009,0.29671261705660545,0.5115914737040936,ABC
0.0779591011939343,0.7120603623738726,0.20998053643219297,B
0.5578052670382789,0.1772669208977073,0.2649278120640138,ABC
0.09735936485135509,0.5390472536171138,0.36359338153153103,B
0.12352731279005805,0.3537937650578767,0.5226789221520652,ABC
0.12259636516552223,0.050957917066025725,0.8264457177684521,C
0.6809696475179537,0.15150496925426335,0.16752538322778288,A
0.09581577379143047,0.5838326126004043,0.3203516136081654,B
0.28253898659447985,0.5631636024943301,0.15429741091119006,ABC
0.3625847869561495,0.058919526257549676,0.5784956867863008,C
0.82257753984085,0.173869971762683,0.003552488396466925,A
0.5273087664624049,0.04828666459845987,0.42440456893913525,ABC
0.08559530964117054,0.476899378097405,0.43750531226142436,B
0.8021904101217611,0.11263132954786698,0.08517826033037178,A
0.05890635649968509,0.7169685860068595,0.2241250574934554,B
0.7426069590046587,0.20621265344701925,0.05118038754832204,A
0.152969232807882,0.14124084203129858,0.7057899251608193,C
0.1060766108322482,0.11135638747354992,0.7825670016942017,C
0.27907771872265524,0.5932120294176855,0.12771025185965934,ABC
0.19403493026119045,0.5787538086768094,0.22721126106200012,B
0.39798105605921497,0.15377052944766,0.44824841449312514,ABC
0.16257516481668693,0.3905631780573566,0.44686165712595644,ABC
0.5827557929525249,0.3919271841899939,0.02531702285748111,A
0.7950193443984311,0.061881332199835035,0.1430993234017337,A
0.44683018094799903,0.1283961917757137,0.4247736272762873,ABC
0.3526389892447054,0.3932195269493929,0.2541414838059017,ABC
0.4530730336707055,0.15051173864097075,0.3964152276883237,ABC
0.2120553361040662,0.5670223027274434,0.22092236116849034,B
0.5020056635510798,0.3354091662894842,0.16258517015943597,ABC
0.4859689520381507,0.16726681539207416,0.34676423256977496,ABC
0.7528999930668627,0.23535320019173722,0.011746806741399916,A
0.07208502052859773,0.8473862615089148,0.08052871796248741,B
0.2928139278706755,0.46670360506975,0.2404824670595745,ABC
0.5118698592460466,0.3019251315268744,0.18620500922707894,ABC
0.6966277470011089,0.11192455517009578,0.19144769782879548,A
0.6151602080935077,0.05213439804558178,0.3327053938609105,A
0.46681822990570776,0.4145590382512789,0.11862273184301332,ABC
0.15982764695572,0.7656219595917665,0.07455039345251355,B
0.06433478458436429,0.6771796244160642,0.2584855909995716,B
0.3506829045394056,0.56980050380281,0.07951659165778459,ABC
0.5833171037955864,0.19460522626073992,0.22207766994367364,ABC
0.10920867247091798,0.15674854755988898,0.7340427799691931,C
0.17673428686706194,0.7869527519479146,0.03631296118502345,B
0.15830752996995412,0.23629752293032788,0.605394947099718,ABC
0.29551991285575846,0.503795973788745,0.2006841133554965,ABC
0.07497185913044792,0.429701236757422,0.4953269041121301,ABC
0.5194911980964508,0.012335576987596712,0.46817322491595226,C
0.16832891360752208,0.2888329184070318,0.542838167985446,ABC
0.415775727791606,0.5640714296812485,0.02015284252714545,ABC
0.325235234711182,0.3508648746824426,0.32389989060637553,ABC
0.44667857373199155,0.324052252477727,0.2292691737902814,ABC
0.6114106210329068,0.11202415566522479,0.27656522330186845,ABC
0.7819343878673181,0.008221121484262474,0.20984449064841953,A
0.7540397445469408,0.05607524381615312,0.18988501163690616,A
0.049220872119219064,0.7995612775586957,0.1512178503220853,B
0.8447162569933423,0.14306692580063987,0.012216817206017873,A
0.42111445303383593,0.11455955436527074,0.46432599260089336,ABC
0.3027948214161652,0.12331025574937973,0.5738949228344551,ABC
0.02078572655062197,0.6914707231623641,0.2877435502870139,B
0.350847233897838,0.3130350125365313,0.3361177535656308,ABC
0.39210357668108425,0.051761934030124614,0.5561344892887912,C
0.20252352034242313,0.5033610822551803,0.2941153974023965,B
0.7978910623502642,0.11477325656920619,0.08733568108052962,A
0.7154263709851779,0.022618184947118345,0.2619554440677038,A
0.43061913749546726,0.1404370500959389,0.4289438124085939,ABC
0.5022879085880939,0.362634805740691,0.13507728567121502,ABC
0.07905490570146215,0.11372606396377302,0.8072190303347648,C
0.054017747309962394,0.5027942321742226,0.4431880205158151,B
0.1925865908868525,0.11138519136600343,0.696028217747144,C
0.02342694462686627,0.4141846014144095,0.5623884539587243,ABC
0.02648954487479485,0.48212259278352687,0.49138786234167836,B
0.07957381378899762,0.23611045728354724,0.6843157289274552,C
0.6281478027849599,0.15744006215647358,0.21441213505856643,ABC
0.08621093811954933,0.5936554289509649,0.3201336329294857,B
0.5868849495501561,0.0727442643907978,0.3403707860590461,ABC
0.05743066433024971,0.4291330207429918,0.5134363149267586,ABC
0.24427465511834046,0.6976899457039023,0.05803539917775714,B
0.026767877867504813,0.36668355084584336,0.6065485712866518,C
